

From: ZZZ At: 11/29/21 10:26:36 UTC-5:00
To:  
Subject: Options: HY37 5Y


Exp: 15-Dec-21 Swaptions Ref: 108.1    CDX HY37
    K    |     Puts    Del |    Calls    Del |   Vol    Chg |  Prc Vol
     104 |   84 / 104   34 |  346 / 366  -66 |  57.9   +0.0 |    8.5 
  103.75 |   80 / 100   32 |  367 / 387  -68 |  58.6   +0.0 |    8.6 
   103.5 |   76 /  96   31 |  388 / 408  -69 |  59.4   +0.0 |    8.7 
     103 |   69 /  89   29 |  432 / 452  -71 |  61.1   +0.0 |    8.9 
   102.5 |   61 /  81   26 |  473 / 493  -74 |  61.7   +0.0 |    9.0 
     102 |   55 /  75   24 |  517 / 537  -76 |  62.7   +0.0 |    9.2 
  101.75 |   52 /  72   23 |  539 / 559  -77 |  63.4   +0.0 |    9.3 
   101.5 |   49 /  69   22 |  562 / 582  -78 |  64.0   +0.0 |    9.4 
  101.25 |   47 /  67   21 |  584 / 604  -79 |  64.5   +0.0 |    9.4 
     101 |   44 /  64   20 |  606 / 626  -80 |  64.9   +0.0 |    9.5 
   100.5 |   38 /  58   19 |  651 / 671  -81 |  65.3   +0.0 |    9.6 
     100 |   36 /  56   17 |  698 / 718  -83 |  67.0   +0.0 |    9.8 
   99.75 |   34 /  54   17 |  721 / 741  -83 |  67.3   +0.0 |    9.8 
    99.5 |   32 /  52   16 |  744 / 764  -84 |  67.9   +0.0 |    9.9 
      99 |   30 /  50   15 |  792 / 812  -85 |  69.3   +0.0 |   10.1 
   98.75 |   28 /  48   15 |  816 / 836  -85 |  69.9   +0.0 |   10.2 
    98.5 |   27 /  47   14 |  839 / 859  -86 |  70.4   +0.0 |   10.3 
